#{"t_start": 1781067216.554743, "env_id": "None"}
r,l,t
-175.0,256,315.45877
-202.0,256,315.649626
-204.0,256,315.693662
-214.0,256,316.236836
-217.0,256,317.454933
-208.0,256,317.616592
-170.0,256,317.672271
-198.0,256,318.1713
-214.0,256,319.408848
-0.9901862,6,319.461953
-193.0,256,319.593776
-172.0,256,319.641033
0.96824586,17,319.778078
-193.0,256,320.165457
-197.0,256,321.438145
-200.0,256,321.556459
-197.0,256,321.723619
-182.0,256,322.140481
-178.0,256,323.333082
-1.970261,16,323.462118
-166.0,256,323.462177
-212.0,256,323.642275
-209.0,256,324.052847
-140.0,256,331.527102
-158.0,256,331.52718
-187.0,256,331.660381
-198.0,256,331.961962
-170.0,256,333.058701
-190.0,256,333.058772
-0.02172026,12,333.126175
-195.0,256,333.193915
-195.0,256,333.505758
-167.0,256,334.636646
-177.0,256,334.796495
0.96824586,17,334.834108
-207.0,256,334.875397
0.9702609,16,334.978574
-170.0,256,335.208849
-134.45157,180,335.965219
-167.0,256,336.497917
-208.0,256,336.62837
-179.0,256,336.886688
-165.0,256,337.702734
-187.0,256,338.205578
-179.0,256,338.351964
0.98425096,9,338.416497
-0.9802742,11,338.481654
-178.0,256,338.598528
-126.39529,217,339.110424
-110.42718,173,368.12598
-185.0,256,368.824795
-154.0,256,368.94056
-189.0,256,369.365724
-186.0,256,369.583287
-0.9662266,18,369.702736
-178.0,256,370.339939
-182.0,256,370.467625
0.98821175,7,370.533743
-0.93958104,31,370.576321
0.96824586,17,370.686766
-205.0,256,370.96962
-152.0,256,371.330443
-178.0,256,372.149207
-199.0,256,372.303327
-0.9822646,10,378.923215
-155.0,256,379.120348
-188.0,256,379.432438
-171.0,256,380.081392
-171.0,256,380.258207
-173.0,256,380.453589
-187.0,256,380.744736
0.99412334,4,380.769118
-189.0,256,381.410632
-158.0,256,381.624012
-94.40052,165,381.656339
-137.0,256,381.861793
0.99608606,3,381.890135
-158.0,256,382.940922
-171.0,256,383.127001
-170.0,256,383.160473
-170.0,256,383.346514
-200.0,256,384.41573
-174.38017,220,384.434294
-0.9901862,6,384.462563
-145.0,256,384.616294
-178.0,256,384.845694
-136.875,253,385.828609
-159.0,256,385.875625
-190.0,256,386.031084
0.9802742,11,386.112281
-184.0,256,386.307765
-51.70986,128,386.645807
-153.0,256,387.408943
-175.0,256,387.631394
-204.0,256,387.79637
-165.0,256,388.091728
-168.0,256,388.864923
-207.0,256,389.073638
-0.97427857,14,389.170025
-182.0,256,389.283481
-198.0,256,389.626882
-141.0,256,390.425001
-171.0,256,397.282544
-174.0,256,397.384717
-0.9662266,18,397.512783
-183.0,256,397.774859
-165.0,256,398.741127
-169.0,256,399.145127
-93.45928,203,399.269188
-154.0,256,399.392664
-173.0,256,400.603619
-163.0,256,400.991117
-188.0,256,401.134101
-1.0439339,23,401.195164
-188.0,256,401.291883
-27.852386,71,401.81198
-158.0,256,402.472076
-54.455006,204,402.591268
0.92280143,39,402.891305
-169.0,256,403.034561
-166.0,256,403.647037
-179.0,256,404.495913
-112.0,256,404.916548
-167.0,256,405.079068
0.9581069,22,405.100973
-178.0,256,405.766157
-163.0,256,406.533635
-173.32475,230,406.900334
-178.0,256,407.101477
-143.0,256,407.683158
-113.0,256,408.412983
0.9121575,44,408.754019
-152.0,256,408.799098
-166.0,256,409.005848
-176.0,256,409.615963
-172.0,256,410.637108
-189.0,256,410.730069
-167.0,256,410.953329
-129.0,256,411.527768
-162.0,256,419.281112
-135.0,256,419.318587
-167.0,256,419.526368
-203.0,256,420.089723
-98.0,256,421.15711
-131.0,256,421.202145
-75.0,256,421.42682
-0.96217525,20,421.588238
-21.116116,57,421.62669
-0.9540211,24,421.769217
-111.0,256,422.043039
-123.0,256,423.130551
-0.9601432,21,423.293125
-136.0,256,423.538215
-119.0,256,423.691749
-169.0,256,423.941625
0.93958104,31,424.169959
-140.0,256,425.23729
-80.0,256,425.480586
0.9702609,16,425.619616
-147.0,256,425.656347
-0.99608606,3,425.684014
0.97827977,12,425.793125
0.97427857,14,425.919613
-143.0,256,426.170656
-188.0,256,427.265983
-153.0,256,427.641315
-147.0,256,427.87484
-144.0,256,428.142979
-10.209431,97,428.894709
-129.0,256,429.216685
-83.0,256,429.576022
-103.0,256,429.827497
-56.309666,135,429.932179
-105.0,256,431.134864
-145.0,256,431.489666
-152.0,256,431.731482
-88.0,256,431.82811
-103.0,256,433.040669
-102.0,256,433.4185
-164.0,256,433.698887
-131.0,256,433.815836
-167.0,256,441.542593
-141.0,256,441.833418
-177.0,256,442.043071
-183.0,256,442.133958
-0.8904879,54,442.432807
-143.0,256,443.231885
-140.0,256,443.532972
-185.0,256,443.829211
0.93122905,35,444.040891
-101.0,256,444.077264
-134.0,256,444.893388
-119.0,256,445.175977
-111.0,256,445.677807
-140.0,256,445.724176
-140.0,256,446.467311
-125.0,256,446.788614
-140.0,256,447.290146
-110.0,256,447.333089
-0.9457966,28,447.512053
-97.44194,207,447.830298
-93.0,256,448.467388
-131.0,256,449.049718
-99.0,256,449.245529
-163.0,256,449.534507
-0.903552,48,449.564099
-107.0,256,450.110587
-55.0,256,450.576537
-129.0,256,451.180404
-133.0,256,451.215675
-0.9078649,46,451.530042
0.97827977,12,451.619848
-123.0,256,451.874894
-173.0,256,452.356059
-122.0,256,452.858199
-66.576225,172,452.912686
-127.0,256,453.213178
-81.0,256,453.979584
-148.0,256,461.055139
-99.0,256,461.118184
-0.93958104,31,461.262209
-124.0,256,461.434153
0.8772293,60,461.579093
0.85238636,71,462.05538
-115.0,256,462.275221
-0.89267856,53,462.399827
-129.0,256,462.970604
-95.0,256,463.117002
-0.9013878,49,463.409704
-65.0,256,463.844978
-119.0,256,463.979702
-104.0,256,464.561889
-56.0,256,465.002568
-149.0,256,465.446363
-105.0,256,465.570302
-91.0,256,466.16902
-0.903552,48,466.464144
-76.0,256,466.618915
-0.97827977,12,466.695869
-90.0,256,467.085401
-110.0,256,467.202882
-0.8904879,54,467.420492
-0.95197165,25,467.582025
-120.0,256,497.860492
-85.0,256,498.168161
0.9078649,46,498.552496
-85.0,256,498.771873
-86.0,256,499.224206
-75.0,256,499.853575
-74.0,256,500.509723
-172.0,256,500.753278
-0.007843259,5,500.80354
-0.9354144,33,501.059781
-154.0,256,501.258478
-92.0,256,501.96487
-67.0,256,502.736164
-150.0,256,503.399966
-193.0,256,503.595516
-52.0,256,504.292711
-141.0,256,505.003131
-157.0,256,505.60272
-139.84691,251,505.753835
-0.9375,32,512.94298
-111.0,256,513.603115
-83.40019,216,513.938883
-70.0,256,514.895407
-75.0,256,515.012878
-116.0,256,515.584111
-104.0,256,515.941231
-116.0,256,516.912252
-119.0,256,517.029698
-73.0,256,517.646122
-133.0,256,517.980095
-71.534,184,518.41018
-144.0,256,519.087833
-124.0,256,519.662213
-129.0,256,520.009328
-144.0,256,520.421389
-112.0,256,521.115263
-131.0,256,521.715469
-89.0,256,522.073686
-134.0,256,522.499984
-98.0,256,523.192916
-124.0,256,523.725086
-69.0,256,524.089366
-120.0,256,524.621706
-71.0,256,525.356592
-61.0,256,525.912887
-126.0,256,526.246544
-109.0,256,526.719633
-94.0,256,527.38512
-113.0,256,527.923536
-73.0,256,528.280341
-97.0,256,528.712545
0.903552,48,529.08021
0.96217525,20,529.269249
-117.0,256,536.580119
-127.0,256,537.202023
-59.0,256,537.619226
-107.0,256,538.684665
-129.0,256,538.846619
0.9702609,16,539.001514
-90.0,256,539.535246
-77.0,256,539.923218
-67.0,256,540.973725
-109.0,256,541.328092
-15.077199,39,541.667825
-40.0,256,541.81158
-80.0,256,542.176974
0.7680129,106,543.09313
-118.0,256,543.228455
-53.0,256,543.854394
-37.0,256,544.009505
0.881671,58,544.364311
-0.98425096,9,544.461442
-50.0,256,545.309301
-123.0,256,545.462091
-75.0,256,546.370153
-96.0,256,546.810987
0.9437293,29,547.069356
-83.0,256,547.672273
-54.0,256,547.853923
-0.96217525,20,548.010846
-66.0,256,548.678375
0.97827977,12,548.791253
-0.9457966,28,549.030171
-44.0,256,549.394383
-102.0,256,550.06815
0.9354144,33,550.356922
-57.0,256,550.398071
-43.0,256,551.3462
-77.0,256,551.656018
0.9581069,22,551.841509
-1.1568289,75,552.474804
-101.0,256,552.53364
-61.0,256,552.565512
-87.0,256,553.481746
-119.0,256,554.651884
-114.0,256,561.471373
-124.0,256,561.500484
-44.0,256,562.421087
-58.49611,192,563.0954
-27.0,256,563.571123
-80.0,256,563.632561
-105.0,256,564.579689
-58.0,256,565.299085
-66.0,256,565.811055
-90.0,256,565.890082
-16.82206,84,566.639355
-41.0,256,566.971351
-20.744774,115,566.989795
-0.98821175,7,567.06372
-1.933324,34,567.364117
-0.05834255,30,567.690314
-137.0,256,567.769096
-0.90571105,47,568.101367
0.93122905,35,568.439236
-40.0,256,569.020766
-58.0,256,569.401403
-64.0,256,570.165215
0.95606613,23,570.369276
0.9662266,18,570.524323
-107.0,256,570.816452
-60.0,256,571.346676
-80.0,256,571.636857
-0.8125,88,572.053513
-82.0,256,572.61978
-62.088387,255,572.882745
-86.0,256,573.703413
0.90571105,47,574.088352
-36.0,256,574.137428
-14.0,256,574.645679
-55.0,256,574.886788
0.903552,48,575.019108
0.9270248,37,575.335887
0.8838835,57,575.374041
-46.0,256,576.140344
-76.0,256,576.187209
-33.400196,216,577.037736
-13.0,256,577.362925
-76.526634,186,577.639727
-0.9164299,42,578.060094
-49.0,256,578.248746
-42.673145,141,586.35741
-89.0,256,586.421201
-60.0,256,586.823653
-72.54127,182,587.020977
-27.378134,158,587.88992
-142.0,256,588.876174
-66.0,256,589.296289
0.9121575,44,589.381928
-56.0,256,589.535138
-57.55806,207,589.99775
0.8385255,77,590.159421
-36.0,256,591.730459
-71.0,256,591.923335
-0.89921844,50,592.187078
-35.911613,255,592.338584
