run,seed,finished,config,checkpoint,final_policy,requested_steps,model,body,train_rewards,fitness_file,eval_blocks,episodes_per_block,first_eval_mean,best_eval_mean,last_eval_mean,best_eval_step,last_eval_step,best_video,hours_to_last_eval
logs/2026-06-23/fixed-2eye-mlp_r2plus1d_yawrate_seed100_nenv8_20260623_220639,100,True,True,True,True,1000000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,226.936514,40,6,-495.6666564941406,42.450321197509766,14.488228797912598,475000,1000000,evaluations/vis_18.mp4,2.0479967169444446
logs/2026-06-23/fixed-2eye-mlp_relative_heading0.25_seed0_nenv8_20260623_104255,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelative,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,14.3438597,12,6,-495.6666564941406,3.4358017444610596,-0.8508694767951965,200000,300000,evaluations/vis_7.mp4,0.32164348
logs/2026-06-23/fixed-2eye-mlp_relative_heading0.25_seed100_nenv8_20260623_104255,100,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelative,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,0.0,14,6,-496.0,0.21835725009441376,-2.856522798538208,250000,350000,evaluations/vis_9.mp4,0.45624481749999996
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_150830,0,True,True,True,True,250000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-150.04806645,10,6,-494.7086486816406,-17.6619930267334,-44.27890396118164,200000,250000,evaluations/vis_7.mp4,0.27657981444444446
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_160043,0,True,True,True,True,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,208.16680200000002,30,6,-494.7086486816406,41.37716293334961,41.37716293334961,750000,750000,evaluations/vis_29.mp4,0.8826306275000001
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_181249,0,True,True,True,True,1500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,354.26073599999995,60,6,-494.7086486816406,70.043212890625,53.45724868774414,1025000,1500000,evaluations/vis_40.mp4,1.7238151197222222
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_214936,0,False,True,True,False,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,,9,6,-494.7086486816406,-17.6619930267334,-62.75825881958008,200000,225000,evaluations/vis_7.mp4,0.2625534247222222
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_150830,100,True,True,True,True,250000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-194.6159007,10,6,-495.3333435058594,-22.18451690673828,-48.188751220703125,175000,250000,evaluations/vis_6.mp4,0.3833741769444444
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_160043,100,True,True,True,True,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,208.62149499999998,30,6,-495.3333435058594,46.96954345703125,30.337839126586914,725000,750000,evaluations/vis_28.mp4,1.0955224808333335
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_181249,100,True,True,True,True,1500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,300.3161355,60,6,-495.3333435058594,66.27960205078125,55.27699279785156,1325000,1500000,evaluations/vis_52.mp4,2.2644176391666666
logs/2026-06-23/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_214936,100,False,True,True,False,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,,8,6,-495.3333435058594,-22.18451690673828,-42.68745040893555,175000,200000,evaluations/vis_6.mp4,0.2712167630555556
logs/2026-06-23/fixed-2eye-r2plus1d_yawrate_seed0_nenv8_20260623_214936,0,False,True,True,False,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,,5,6,-493.6995544433594,-245.61488342285156,-245.61488342285156,125000,125000,evaluations/vis_4.mp4,0.25435729333333335
logs/2026-06-23/fixed-2eye-r2plus1d_yawrate_seed100_nenv8_20260623_214936,100,False,True,True,False,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,,5,6,-495.3333435058594,-99.27118682861328,-99.27118682861328,125000,125000,evaluations/vis_4.mp4,0.22913588944444443
logs/2026-06-23/fixed_2eye_r2plus1d_smoke_20260623_214238,0,True,True,False,True,16384,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-inf,,,,,,,,,
logs/2026-06-24/actuated-2eye-rppo_baseline_seed0_nenv8_20260624_154724,0,False,True,False,False,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,,,,,,,,,,
logs/2026-06-24/actuated-2eye-rppo_cyclopean_lstm_seed0_nenv8_20260624_095910,0,True,True,True,True,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,152.281734,30,6,-7.079151153564453,32.425071716308594,18.353776931762695,625000,750000,evaluations/vis_24.mp4,1.558663631111111
logs/2026-06-24/actuated-2eye-rppo_cyclopean_lstm_seed100_nenv8_20260624_095910,100,True,True,True,True,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,176.40727900000002,30,6,-32.16008758544922,33.8857307434082,1.628501296043396,500000,750000,evaluations/vis_19.mp4,1.6027463747222221
logs/2026-06-24/actuated-2eye-rppo_idle_metabolism_seed0_nenv8_20260624_154724,0,False,True,False,False,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;motor_metabolism,,,,,,,,,,
logs/2026-06-24/actuated-2eye-rppo_strong_body_heavy_seed0_nenv8_20260624_154724,0,False,True,False,False,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;motor_metabolism,,,,,,,,,,
logs/2026-06-24/actuated-2eye-rppo_weak_body_heavy_seed0_nenv8_20260624_154724,0,False,True,False,False,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;motor_metabolism,,,,,,,,,,
logs/2026-06-24/fixed-2eye-rppo_cyclopean_lstm_seed0_nenv8_20260624_095910,0,True,True,True,True,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,253.84634400000002,30,6,-32.112911224365234,56.75827407836914,18.43149757385254,225000,750000,evaluations/vis_8.mp4,1.5047017516666668
logs/2026-06-24/fixed-2eye-rppo_cyclopean_lstm_seed100_nenv8_20260624_095910,100,True,True,True,True,750000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,322.722854,30,6,0.9696900248527527,60.85519027709961,50.695343017578125,625000,750000,evaluations/vis_24.mp4,1.5546405072222222
logs/2026-06-24/fixed_2eye_cyclopean_lstm_smoke_20260624_095532,0,True,True,True,True,4096,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-3000.0,1,6,-500.0,-500.0,-500.0,4096,4096,evaluations/vis_0.mp4,0.020556182777777775
logs/2026-06-24/subproc_info_smoke_20260624_205214,0,True,True,False,True,4096,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-inf,,,,,,,,,
